05-18-2026 02:34:08 RAM 3113/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [41%@729,44%@729,37%@729,40%@729,41%@729,43%@729] GR3D_FREQ 0% cpu@42.812C soc2@41.406C soc0@42.343C gpu@43.156C tj@43.156C soc1@42.687C VDD_IN 8186mW/6736mW VDD_CPU_GPU_CV 2866mW/2020mW VDD_SOC 1876mW/1651mW
05-18-2026 02:34:09 RAM 3114/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [37%@729,39%@729,40%@729,36%@729,40%@729,38%@729] GR3D_FREQ 73% cpu@42.656C soc2@41.468C soc0@42.468C gpu@43.468C tj@43.468C soc1@42.531C VDD_IN 8027mW/6812mW VDD_CPU_GPU_CV 2786mW/2065mW VDD_SOC 1876mW/1665mW
05-18-2026 02:34:10 RAM 3114/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [40%@729,44%@729,39%@729,37%@729,35%@729,41%@729] GR3D_FREQ 96% cpu@42.843C soc2@41.75C soc0@42.562C gpu@43.687C tj@43.687C soc1@42.718C VDD_IN 8266mW/6893mW VDD_CPU_GPU_CV 2945mW/2114mW VDD_SOC 1916mW/1679mW
05-18-2026 02:34:11 RAM 3114/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [41%@960,36%@960,42%@960,38%@960,35%@729,48%@729] GR3D_FREQ 34% cpu@42.875C soc2@41.593C soc0@42.625C gpu@43.281C tj@43.281C soc1@42.781C VDD_IN 8027mW/6952mW VDD_CPU_GPU_CV 2746mW/2147mW VDD_SOC 1876mW/1689mW
05-18-2026 02:34:12 RAM 3112/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [41%@806,44%@806,37%@806,45%@806,37%@729,41%@729] GR3D_FREQ 74% cpu@43.125C soc2@41.656C soc0@42.562C gpu@43.375C tj@43.375C soc1@42.968C VDD_IN 8146mW/7012mW VDD_CPU_GPU_CV 2826mW/2181mW VDD_SOC 1916mW/1700mW
05-18-2026 02:34:13 RAM 3117/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [42%@729,38%@729,46%@729,40%@729,41%@729,36%@729] GR3D_FREQ 98% cpu@42.906C soc2@41.718C soc0@42.718C gpu@43.812C tj@43.812C soc1@42.875C VDD_IN 8186mW/7068mW VDD_CPU_GPU_CV 2866mW/2214mW VDD_SOC 1916mW/1711mW
05-18-2026 02:34:14 RAM 3115/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [42%@729,41%@729,40%@729,38%@729,41%@729,35%@729] GR3D_FREQ 4% cpu@42.843C soc2@41.656C soc0@42.75C gpu@43.312C tj@43.312C soc1@42.968C VDD_IN 7987mW/7110mW VDD_CPU_GPU_CV 2746mW/2238mW VDD_SOC 1876mW/1718mW
05-18-2026 02:34:15 RAM 3118/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [38%@729,43%@729,47%@729,39%@729,39%@883,38%@883] GR3D_FREQ 73% cpu@43.031C soc2@41.75C soc0@42.812C gpu@43.531C tj@43.531C soc1@43.031C VDD_IN 7987mW/7148mW VDD_CPU_GPU_CV 2746mW/2260mW VDD_SOC 1916mW/1727mW
05-18-2026 02:34:16 RAM 3118/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [44%@729,41%@729,39%@1344,40%@1344,43%@729,35%@729] GR3D_FREQ 31% cpu@42.906C soc2@41.781C soc0@42.718C gpu@43.625C tj@43.625C soc1@43C VDD_IN 8067mW/7186mW VDD_CPU_GPU_CV 2786mW/2282mW VDD_SOC 1876mW/1733mW
05-18-2026 02:34:17 RAM 3118/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [39%@1113,46%@1113,38%@1113,40%@1113,37%@806,44%@806] GR3D_FREQ 17% cpu@43.156C soc2@41.968C soc0@42.906C gpu@43.718C tj@43.718C soc1@43.031C VDD_IN 8186mW/7226mW VDD_CPU_GPU_CV 2866mW/2305mW VDD_SOC 1876mW/1739mW
05-18-2026 02:34:18 RAM 3119/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [47%@729,39%@729,43%@729,45%@729,35%@729,36%@729] GR3D_FREQ 21% cpu@43.281C soc2@41.906C soc0@42.968C gpu@43.593C tj@43.593C soc1@43.093C VDD_IN 7907mW/7252mW VDD_CPU_GPU_CV 2711mW/2321mW VDD_SOC 1876mW/1744mW
05-18-2026 02:34:19 RAM 3119/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [42%@806,42%@806,41%@806,39%@806,39%@729,41%@729] GR3D_FREQ 52% cpu@43.406C soc2@42.093C soc0@42.968C gpu@43.843C tj@43.843C soc1@43.312C VDD_IN 8226mW/7288mW VDD_CPU_GPU_CV 2826mW/2340mW VDD_SOC 1956mW/1752mW
05-18-2026 02:34:20 RAM 3119/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [39%@729,45%@729,42%@729,44%@729,38%@729,34%@729] GR3D_FREQ 56% cpu@43.187C soc2@42.062C soc0@43.062C gpu@43.812C tj@43.812C soc1@43.218C VDD_IN 7907mW/7311mW VDD_CPU_GPU_CV 2631mW/2350mW VDD_SOC 1876mW/1756mW
05-18-2026 02:34:21 RAM 3119/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [40%@729,41%@729,42%@729,43%@729,39%@729,38%@729] GR3D_FREQ 46% cpu@43.437C soc2@42.062C soc0@43.218C gpu@43.687C tj@43.687C soc1@43.281C VDD_IN 8027mW/7335mW VDD_CPU_GPU_CV 2786mW/2365mW VDD_SOC 1876mW/1760mW
05-18-2026 02:34:22 RAM 3119/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [45%@883,45%@883,38%@883,37%@883,42%@729,41%@729] GR3D_FREQ 37% cpu@43.687C soc2@42.218C soc0@43.25C gpu@44.062C tj@44.062C soc1@43.531C VDD_IN 8306mW/7368mW VDD_CPU_GPU_CV 2945mW/2384mW VDD_SOC 1916mW/1766mW
