05-16-2026 00:14:41 RAM 1429/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [13%@1344,100%@1344,13%@1344,13%@1344,12%@806,42%@806] GR3D_FREQ 0% cpu@37.406C soc2@36.093C soc0@37.406C gpu@37.843C tj@37.843C soc1@37.718C VDD_IN 5368mW/5368mW VDD_CPU_GPU_CV 1200mW/1200mW VDD_SOC 1402mW/1402mW
05-16-2026 00:14:42 RAM 1466/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1344,100%@1344,0%@1344,1%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@37.406C soc2@36C soc0@37.406C gpu@37.781C tj@37.843C soc1@37.843C VDD_IN 5168mW/5268mW VDD_CPU_GPU_CV 1000mW/1100mW VDD_SOC 1402mW/1402mW
05-16-2026 00:14:43 RAM 1483/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,2%@729] GR3D_FREQ 0% cpu@37.218C soc2@36.031C soc0@37.343C gpu@37.812C tj@38C soc1@37.625C VDD_IN 5128mW/5221mW VDD_CPU_GPU_CV 1000mW/1067mW VDD_SOC 1402mW/1402mW
05-16-2026 00:14:44 RAM 1490/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,5%@729,0%@729,0%@729,96%@1344,1%@1344] GR3D_FREQ 0% cpu@37.312C soc2@36.125C soc0@37.468C gpu@38.062C tj@38.062C soc1@37.75C VDD_IN 5128mW/5198mW VDD_CPU_GPU_CV 1000mW/1050mW VDD_SOC 1402mW/1402mW
05-16-2026 00:14:45 RAM 1523/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1344,3%@1344] GR3D_FREQ 0% cpu@37.5C soc2@35.968C soc0@37.5C gpu@37.906C tj@37.906C soc1@37.687C VDD_IN 5088mW/5176mW VDD_CPU_GPU_CV 960mW/1032mW VDD_SOC 1402mW/1402mW
05-16-2026 00:14:46 RAM 1543/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1344,0%@1344] GR3D_FREQ 0% cpu@37.187C soc2@36C soc0@37.5C gpu@37.875C tj@37.875C soc1@37.781C VDD_IN 5056mW/5156mW VDD_CPU_GPU_CV 1001mW/1027mW VDD_SOC 1402mW/1402mW
05-16-2026 00:14:47 RAM 1615/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [37%@1344,2%@1344,0%@1344,1%@1344,45%@729,2%@729] GR3D_FREQ 4% cpu@37.562C soc2@36.156C soc0@37.406C gpu@37.906C tj@37.968C soc1@37.968C VDD_IN 5016mW/5136mW VDD_CPU_GPU_CV 921mW/1012mW VDD_SOC 1404mW/1402mW
05-16-2026 00:14:48 RAM 1834/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@729,55%@729,0%@729,0%@729,18%@729,23%@729] GR3D_FREQ 24% cpu@37.281C soc2@36.187C soc0@37.5C gpu@37.937C tj@37.937C soc1@37.781C VDD_IN 5778mW/5216mW VDD_CPU_GPU_CV 1282mW/1046mW VDD_SOC 1562mW/1422mW
05-16-2026 00:14:49 RAM 1819/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [17%@729,15%@729,0%@729,3%@729,18%@806,35%@806] GR3D_FREQ 0% cpu@37.375C soc2@36.125C soc0@37.656C gpu@38.031C tj@38.031C soc1@37.812C VDD_IN 5354mW/5232mW VDD_CPU_GPU_CV 1004mW/1041mW VDD_SOC 1527mW/1434mW
